IDCabang,KategoriKota,Wilayah,JumlahNasabahAktif,JumlahTeller,JumlahPegawai,JumlahATM,LuasCabang_m2,UmurCabang_tahun,JamOperasionalPerHari,TransaksiHarian,TransaksiBulanan,SkorKepuasanNasabah,KodeInternal,BiayaOperasional_jutaPerBulan
CBG01307,Kota Besar,Jawa Tengah,8128,10,30,4,499.0,45,7.1,543,11896,4.6,9797,342.59
CBG02038,Kota Kecil,Jawa Timur,4711,8,23,2,241.0,45,8.2,335,7331,4.23,4161,244.1
CBG00569,Kota Kecil,Indonesia Timur,4579,4,15,3,308.0,9,8.0,339,7479,,6677,231.73
CBG01898,Metro,Sumatera,9000,9,24,6,367.0,16,8.8,562,12522,3.95,5108,342.47
CBG02499,Kota Kecil,Sulawesi,3701,4,13,2,155.0,38,9.0,247,5429,4.1,7338,206.09
CBG01112,Metro,Kalimantan,6405,6,17,5,550.0,12,8.6,456,10112,4.46,8475,301.4
CBG01236,Kota Besar,Kalimantan,5633,7,22,5,355.0,7,8.1,377,8295,4.41,6813,264.25
CBG01124,Kota Kecil,Jawa Timur,1338,3,11,3,199.0,19,8.6,210,4628,4.43,7341,129.49
CBG02731,Kota Kecil,Indonesia Timur,9803,10,25,5,491.0,6,9.3,671,14690,3.93,8708,328.18
CBG02215,Metro,Jawa Barat,10953,10,27,7,468.0,28,6.3,710,15568,4.41,8270,369.58
CBG01854,Kota Kecil,Kalimantan,8574,8,26,5,578.0,18,8.9,613,13503,3.04,5511,322.64
CBG01397,Metro,Jawa Tengah,6106,8,23,2,343.0,2,7.1,361,7970,3.89,3632,273.23
CBG00719,Kota Besar,Sulawesi,6085,8,25,5,354.0,19,7.6,339,7453,4.02,5093,271.23
CBG00892,Metro,Jawa Barat,5834,8,23,4,495.0,15,9.5,340,7470,4.62,2590,305.3
CBG01141,Kota Besar,Jawa Tengah,2168,2,12,1,407.0,41,7.9,271,5963,4.99,4352,177.42
CBG02804,Kota Besar,Sulawesi,3329,6,17,2,300.0,31,7.8,292,6414,4.29,4803,210.07
CBG02180,Kota Kecil,Indonesia Timur,3676,5,13,4,,4,9.6,335,7356,4.1,5388,199.11
