IDNasabah,Usia,JenisPekerjaan,PendapatanBulanan_juta,PendapatanTahunan_juta,SkorKredit,LamaMenjadiNasabah_tahun,RataSaldoTabungan_juta,JumlahProdukDimiliki,TotalTransaksiBulanan,RasioUtangTerhadapPendapatan,LimitKredit_juta
NSB00001,59,Karyawan,22.53,269.54,721,4,49.76,6,29,0.295,95.31
NSB00002,29,PNS,15.33,184.94,594,1,32.61,3,19,0.371,46.87
NSB00003,23,PNS,6.56,78.73,624,1,5.45,2,26,0.41,14.96
NSB00004,50,Profesional,12.78,152.64,598,4,30.43,2,42,0.289,42.64
NSB00005,38,PNS,19.41,232.94,666,6,32.65,2,45,0.448,57.17
NSB00006,42,Karyawan,10.01,119.43,640,11,10.87,1,9,0.363,15.27
NSB00007,25,Profesional,11.21,134.04,717,12,31.79,4,35,0.232,63.03
NSB00008,38,PNS,4.34,52.11,577,0,8.68,1,32,0.393,6.17
NSB00009,50,PNS,6.72,79.81,653,2,14.32,1,28,0.13,28.13
NSB00010,37,Karyawan,4.01,48.25,612,15,11.15,1,20,0.289,18.98
NSB00011,58,Karyawan,28.38,340.87,644,6,69.2,6,50,0.108,124.4
NSB00012,56,Wiraswasta,13.41,161.44,649,6,44.45,3,27,0.315,44.47
NSB00013,52,PNS,15.28,183.05,555,5,37.49,4,43,0.407,42.43
NSB00014,61,Wiraswasta,9.44,113.46,572,1,17.37,2,47,0.373,12.88
NSB00015,53,Karyawan,4.91,58.68,675,7,12.99,2,47,0.074,30.3
NSB00016,29,Karyawan,11.49,137.36,587,1,26.91,3,16,0.333,29.26
NSB00017,59,Karyawan,7.53,90.39,546,2,30.19,3,35,0.366,7.57
NSB00018,50,Profesional,6.33,75.96,554,7,21.05,1,47,0.383,19.97
NSB00019,26,Profesional,10.79,129.46,655,10,42.88,1,9,0.368,39.97
NSB00020,35,Wiraswasta,11.1,133.91,605,5,32.42,1,31,0.383,29.14
NSB00021,29,Wiraswasta,9.55,114.47,629,3,31.84,3,52,0.164,44.49
NSB00022,64,Karyawan,7.01,84.26,471,4,9.36,1,39,0.297,3.0
NSB00023,54,Wiraswasta,6.28,75.46,624,19,19.77,1,42,0.24,35.17
NSB00024,62,Wiraswasta,10.52,126.31,585,3,35.15,1,30,0.296,21.74
NSB00025,34,Karyawan,19.8,237.97,679,0,31.76,2,42,0.327,55.36
NSB00026,49,Profesional,4.55,54.22,670,5,0.89,1,44,0.219,19.4
NSB00027,48,Karyawan,7.45,89.2,655,2,5.1,5,42,0.253,28.92
NSB00028,55,Karyawan,9.64,116.18,507,0,9.58,4,49,0.359,20.34
NSB00029,27,Karyawan,9.65,115.66,663,0,17.23,4,52,0.248,44.68
NSB00030,44,Karyawan,7.7,92.65,678,0,7.82,3,28,0.26,20.89
NSB00031,50,Wiraswasta,28.58,343.58,629,6,40.16,2,54,0.309,90.93
NSB00032,58,Karyawan,12.91,153.02,647,3,37.45,3,51,0.431,26.46
NSB00033,50,Profesional,6.28,74.96,633,0,11.57,3,40,0.269,20.09
NSB00034,41,PNS,4.0,47.87,603,7,10.82,2,32,0.148,23.95
NSB00035,42,Karyawan,9.59,114.76,623,0,34.49,1,40,0.209,17.11
NSB00036,36,PNS,22.63,271.05,601,1,24.14,2,58,0.316,62.51
NSB00037,28,PNS,11.59,138.83,659,10,3.36,3,45,0.134,48.4
NSB00038,34,Karyawan,4.0,47.84,601,1,8.92,4,38,0.219,10.69
